,type,successfuf_judge_rate,average_distance,total_count
0,gameover,0.9009166666670001,2.6308734025200002,12000
1,locky,0.529676258993,2.03421427842,1112
2,nymaim,0.569306930693,2.10846024181,404
3,symmi,0.046875,1.40489806009,64
4,conficker,0.6203904555309999,2.1704270796,461
5,pykspa_v2_real,0.613065326633,2.15894276089,199
6,pykspa_v2_fake,0.612015018773,2.14511346619,799
7,bamital,0.990384615385,3.16349007516,104
8,madmax,1.0,2.65620805947,1
9,qadars,0.821111111111,2.56810051974,1800
10,necurs,0.479614257812,1.9801870124400003,8192
11,cryptolocker,0.445,1.94690812521,1000
12,proslikefan,0.6,2.21595838567,100
13,ranbyus,0.410282258065,1.91135017333,4960
14,murofet,0.562887760857,2.10200854255,5319
15,suppobox,0.0033571128829200003,0.348633912207,2383
16,mirai,0.5,2.0619928585599996,2
17,vidro,0.6,2.1533160138599996,100
18,tofsee,0.0,1.61904818344,20
19,dyre,0.9990000000000001,3.13349524416,1000
20,chinad,0.8540000000000001,2.5588546073800003,1000
21,virut,0.5884897877049999,2.12305380987,9939
22,emotet,0.41955708815700005,1.9235057510799998,223295
23,matsnu,0.0,0.209790325322,884
24,blackhole,0.5,1.6984304658000002,2
25,padcrypt,0.154761904762,1.6657130899,168
26,xshellghost,0.0,1.49594009769,1
27,ccleaner,1.0,2.98810759989,1
28,fobber_v1,0.496644295302,2.01190105639,298
29,dircrypt,0.553191489362,2.0485356445900003,470
30,tinba,0.55680548157,2.06821250066,95739
31,ramnit,0.457383330193,1.9695262658500001,15921
32,banjori,0.0295820447467,0.8561662883050001,452369
33,simda,0.317045033167,1.7658576714900003,24271
34,fobber_v2,0.58389261745,2.0963404947999997,298
35,tempedreve,0.553921568627,2.06966932826,204
36,vawtrak,0.536912751678,2.04943397681,298
37,rovnix,0.8387964176980001,2.47869190213,179996
38,gspy,0.99,3.3844529088499997,100
39,pykspa_v1,0.476041340432,1.9398136936900001,44702
40,shifu,0.640423031727,2.18434573819,2553
